Tarih;TP BRENTPETROL EUBP;TP SANAYREV11 Y1;TP SANAYREV11 Y1-1;TP SANAYREV11 Y1-2;TP KTF18;TP KTFTUK01;TP KREDI L001;M1_Düzey;M2_düzey;TP FG J0;TP FG B01 95;TP GY1 N2;TP KKO2 IS TOP;Ýmalat Sanayi Kapasite Kullaným Oraný - Düzey;1.M1 - Düzey;2.M2 - Düzey;Ticari Krediler (TL Üzerinden Açýlan)(Tüzel Kiþi KMH ve Kurumsal Kredi Kartlarý Hariç)(Akým Veri,%) - Düzey;Tüketici Kredisi (KMH Dahil)(TL Üzerinden Açýlan)(Ýhtiyaç+Taþýt+Konut)(Akým Veri,%) - Düzey;0.GENEL (Tüketici) - Düzey;Genel Endeks (ÝTO 1995=100) - Düzey;Avrupa Brent Petrol Spot FOB Fiyatý (Varil Baþýna Dolar) - Düzey;I.TOPLAM KREDÝ HACMÝ(Bin TL) - Düzey;Reel Kesim Güven Endeksi - Düzey;Toplam sanayi - Düzey;Toplam sanayi - Yüzde Deðiþim;Toplam sanayi - Fark
2015-01;47,52;95,16;-0,41;-0,40;11,48;16,85;1.227.249.366,00;252.673.992,00;1.022.057.292,00;250,45;12.938,90;101,70;74,40;;;;;;;;;;;;;
2015-02;61,89;95,19;0,03;0,03;11,35;16,73;1.257.262.574,00;257.344.086,00;1.046.179.728,00;252,24;13.032,30;103,70;74,10;;;;;;;;;;;;;
2015-03;53,69;99,05;4,06;3,86;11,53;16,30;1.287.325.305,00;267.342.113,00;1.070.387.826,00;255,23;13.179,30;103,00;74,00;;;;;;;;;;;;;
2015-04;63,90;99,44;0,39;0,39;11,88;16,54;1.316.545.705,00;272.907.155,00;1.098.268.735,00;259,39;13.429,20;109,70;76,80;;;;;;;;;;;;;
2015-05;63,16;99,46;0,02;0,02;12,14;17,08;1.336.108.240,00;281.271.421,00;1.108.585.679,00;260,85;13.484,10;111,30;77,50;;;;;;;;;;;;;
2015-06;60,31;100,41;0,96;0,96;12,50;17,33;1.361.832.244,00;291.406.844,00;1.119.496.059,00;259,51;13.449,80;105,60;77,60;;;;;;;;;;;;;
2015-07;53,29;99,76;-0,65;-0,65;12,44;18,21;1.398.382.392,00;293.280.229,00;1.148.945.028,00;259,74;13.355,30;104,80;78,50;;;;;;;;;;;;;
2015-08;47,97;102,64;2,89;2,88;13,49;18,04;1.420.988.429,00;300.054.479,00;1.172.420.463,00;260,78;13.475,20;102,90;76,80;;;;;;;;;;;;;
2015-09;47,29;102,75;0,10;0,10;14,44;19,75;1.437.654.290,00;318.857.392,00;1.204.692.707,00;263,11;13.543,00;98,20;78,10;;;;;;;;;;;;;
2015-10;48,00;100,29;-2,39;-2,46;14,67;20,12;1.433.293.486,00;308.696.898,00;1.188.074.099,00;267,20;13.761,00;97,70;77,60;;;;;;;;;;;;;
2015-11;43,73;102,51;2,22;2,22;14,17;19,87;1.433.212.969,00;303.405.085,00;1.179.305.100,00;268,98;13.874,80;102,60;78,40;;;;;;;;;;;;;
2015-12;36,61;103,33;0,80;0,82;14,48;19,58;1.452.160.856,00;311.648.012,00;1.189.495.148,00;269,54;13.889,60;100,40;78,10;;;;;;;;;;;;;
